9242094329163,1222,Kenwood,1948-05-31,100,Allis.Kenwood@mail.com,78,7,570.28
6509413410029,Gusty,McClimans,1960-0722,100,Gusty.McClimans@mail.com,80,3,569.99
3641262780907,Catrina,Ovid,196909-04,100,Catrina.Ovid@mail.com,84,6,144.14
2236836990212,Gratia,Malina,2000-04-18,100,Gratia.Malinamail.com,88,4,530.86
9242094329163,1222,Kenwood,1948-05-31,100,Allis.Kenwood@mail.com,78,7,570.28
6509413410029,Gusty,McClimans,1960-0722,100,Gusty.McClimans@mail.com,80,3,569.99
3641262780907,Catrina,Ovid,196909-04,100,Catrina.Ovid@mail.com,84,6,144.14
2236836990212,Gratia,Malina,2000-04-18,100,Gratia.Malinamail.com,88,4,530.86
9242094329163,1222,Kenwood,1948-05-31,100,Allis.Kenwood@mail.com,78,7,570.28
6509413410029,Gusty,McClimans,1960-0722,100,Gusty.McClimans@mail.com,80,3,569.99
3641262780907,Catrina,Ovid,196909-04,100,Catrina.Ovid@mail.com,84,6,144.14
2236836990212,Gratia,Malina,2000-04-18,100,Gratia.Malinamail.com,88,4,530.86
9242094329163,1222,Kenwood,1948-05-31,100,Allis.Kenwood@mail.com,78,7,570.28
6509413410029,Gusty,McClimans,1960-0722,100,Gusty.McClimans@mail.com,80,3,569.99
3641262780907,Catrina,Ovid,196909-04,100,Catrina.Ovid@mail.com,84,6,144.14
2236836990212,Gratia,Malina,2000-04-18,100,Gratia.Malinamail.com,88,4,530.86
